filename	name	created	url	license	rightsHolder
719082.jpg	Helvella dryophila	2017-02-26	https://mushroomobserver.org/images/640/719082.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Dave Carr
767993.jpg	Hydnellum aurantiacum	2016-08-17	https://mushroomobserver.org/images/640/767993.jpg	http://creativecommons.org/licenses/by-nc-sa/3.0/	Drew Henderson
538245.jpg	Suillus spraguei	2015-07-12	https://mushroomobserver.org/images/640/538245.jpg	http://creativecommons.org/licenses/by-nc-sa/3.0/	Dave W
444343.jpg	Agaricus placomyces	2014-08-12	https://mushroomobserver.org/images/640/444343.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Eva Skific
1282824.jpg	Cantharellus cascadensis	2020-11-12	https://mushroomobserver.org/images/640/1282824.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Drew Henderson
212649.jpg	Psilocybe zapotecorum	2012-04-13	https://mushroomobserver.org/images/640/212649.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Alan Rockefeller
302530.jpg	Entoloma	2013-01-16	https://mushroomobserver.org/images/640/302530.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Jimmy Craine
1119434.jpg	Postia fragilis	2019-11-08	https://mushroomobserver.org/images/640/1119434.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Drew Henderson
380936.jpg	Onnia circinata	2013-02-08	https://mushroomobserver.org/images/640/380936.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Thomas Laxton
404885.jpg	Veluticeps fimbriata	2014-02-21	https://mushroomobserver.org/images/640/404885.jpg	http://creativecommons.org/licenses/by-nc-sa/3.0/	Oluna & Adolf Ceska
1051285.jpg	Pluteus	2019-06-24	https://mushroomobserver.org/images/640/1051285.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Eva Skific
354638.jpg	Leucoagaricus americanus	2013-08-04	https://mushroomobserver.org/images/640/354638.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Jon Shaffer
571734.jpg	Caulorhiza umbonata	2015-10-28	https://mushroomobserver.org/images/640/571734.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Jacob Kalichman
1169390.jpg	Schizophyllum commune	2019-10-11	https://mushroomobserver.org/images/640/1169390.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Heather Waterman
481927.jpg	Leucoagaricus leucothites	2012-12-14	https://mushroomobserver.org/images/640/481927.jpg	http://creativecommons.org/licenses/by-nc-sa/3.0/	North American Mycological Association
133582.jpg	Psathyrella longistriata	2011-02-06	https://mushroomobserver.org/images/640/133582.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Drew Henderson
896878.jpg	Hohenbuehelia petaloides	2018-07-23	https://mushroomobserver.org/images/640/896878.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Dave W
488950.jpg	Armillaria gallica	2014-12-05	https://mushroomobserver.org/images/640/488950.jpg	http://creativecommons.org/licenses/by-sa/3.0/	Elsa
